name,twt_handle,tweet_body,post_date,reply_cnt,rt_cnt,like_cnt
NFT Monitor,@NFT_Monitor,  Mutant   Ape   Yacht Club  |  #MAYC   #NFT #7446 sold for 26.99 ETH (88.73K $)   https:// 786628fea6478f785a6d7e704777c86a7c6/7446 …,2022-03-28T02:41:32.000Z,,,2
nanocube.io | NFT alerts #2,@nanocubealerts2,"Mutant   Ape   Yacht Club  #7446 sold for 26.99 ETH! ($89108.02)

-  https:// 786628fea6478f785a6d7e704777c86a7c6/7446 … -  https:// 60e4d786628fea6478f785a6d7e704777c86a7c6/7446 … Rarity  5812/18022 #mayc   #mutantape    #mutantapeclub   #nft   #nanocube",2022-03-28T02:41:12.000Z,,,1
NFT FLOOR PRICE UPDATES,@0xbotfather,"Featured Collection:  @TheLoomSociety Daily floor price update

Cryptopunks: 71.99Ξ (  1.47%)
Goons of Balatroon: 0.17Ξ (  -5.56%)
Bored  Ape  YC: 107.17Ξ (  4.25%) Mutant   Ape   Yacht Club : 22.69Ξ (  -1.35%)
CLONE X  X TAKASHI MURAKAMI: 15.0Ξ (  0.0%)",2022-03-28T02:07:01.000Z,1,,1
nanocube.io | NFT alerts #2,@nanocubealerts2,"Mutant   Ape   Yacht Club  #738 sold for 17.055 ETH! ($56142.84)

-  https:// 786628fea6478f785a6d7e704777c86a7c6/738 … -  https:// 60e4d786628fea6478f785a6d7e704777c86a7c6/738 … Rarity  12976/18022 #mayc   #mutantape    #mutantapeclub   #nft   #nanocube",2022-03-28T02:00:24.000Z,,1,2
Trengible - Discover the nft trends,@Trengible," - 50SC-VAULT just bought #4973 for 23 ETH ($75,460.47)

Collection:  Mutant   Ape   Yacht Club Date: 2022-03-28 01:32:54 (GMT 0)

Detail:  https:// ht-club/4973-0x60e4d786628fea6478f785a6d7e704777c86a7c6-4973 …",2022-03-28T01:34:17.000Z,,,1
NFT Monitor,@NFT_Monitor,  Mutant   Ape   Yacht Club  |  #MAYC   #NFT #4973 sold for 23 ETH (75.46K $)   https:// 786628fea6478f785a6d7e704777c86a7c6/4973 …,2022-03-28T01:33:20.000Z,,,2
Trengible - Discover the nft trends,@Trengible," - 0x646 just bought #15239 for 35 ETH ($114,831.15)

Collection:  Mutant   Ape   Yacht Club Date: 2022-03-28 01:31:57 (GMT 0)

Detail:  https:// ht-club/15239-0x60e4d786628fea6478f785a6d7e704777c86a7c6-15239 …",2022-03-28T01:33:19.000Z,,,
nanocube.io | NFT alerts #2,@nanocubealerts2,"Mutant   Ape   Yacht Club  #4973 sold for 23 ETH! ($75989.01)

-  https:// 786628fea6478f785a6d7e704777c86a7c6/4973 … -  https:// 60e4d786628fea6478f785a6d7e704777c86a7c6/4973 … Rarity  15122/18022 #mayc   #mutantape    #mutantapeclub   #nft   #nanocube",2022-03-28T01:33:05.000Z,,,3
NFT Monitor,@NFT_Monitor,  Mutant   Ape   Yacht Club  |  #MAYC   #NFT #15239 sold for 35 ETH (114.83K $)   https:// 786628fea6478f785a6d7e704777c86a7c6/15239 …,2022-03-28T01:32:15.000Z,,,1
NFT Whale Alert,@nftwhalealert,"Mutant   Ape   Yacht Club  15239 bought for Ξ35 ($115,334.80)
Avg Price: Ξ23.00
Rare Traits:
Eyes: M2 Zombie - 0.8%
Hat: M2 Commie Hat - 0.77%
Clothes: M2 Striped Tee - 0.91%
Mouth: M2 Grin Gold Grill - 0.41% https:// 786628fea6478f785a6d7e704777c86a7c6/15239 …",2022-03-28T01:32:09.000Z,1,6,15
