name,twt_handle,tweet_body,post_date,reply_cnt,rt_cnt,like_cnt
0xLul (lulox.Ξth),@NotLulox,"Maybe I'd get a cyberpunk bike with the sale of the azukis I'm not holding, to embrace being a holder in real life as well",2022-03-28T10:19:29.000Z,,,1
芥子（うさぎどん）,@bot_karashi,,2022-03-28T10:19:26.000Z,,,
eim,@peimsloot,"Everything is a process and everything is constantly evolving. Even giants like google and apple will be looked upon as antique one day. Right now web3 brands are pioneering what ownership, ip, brand and culture will be for the next generation.  Azuki  and BAYC are taking the lead.",2022-03-28T10:19:26.000Z,,,1
Jaminft,@Jaminft3,Hi Bean!,2022-03-28T10:19:05.000Z,,,1
壁打ち,@kabeuchi_sasete,,2022-03-28T10:18:16.000Z,,,
DEFI NEWS,@0xdefinews,GM/GA/GN  #Azuki   &  #3Landers  Among Rocket-Fuelled  #NFTs  Launching from the Floor,2022-03-28T10:18:03.000Z,,1,
CheckMyVault.com,@checkmyvault,Azuki  & 3Landers Among Rocket-Fuelled NFTs Launching from the Floor  http://   #NFT   #NFTCollector   #NFTCommunity,2022-03-28T10:18:02.000Z,,5,3
Galm-1,@DarkSalsa,RIP Mike  Azuki,2022-03-28T10:17:58.000Z,,,2
Rovin,@RovinNFT,SMH he's actually using my fav  Azuki #2155 as his pfp,2022-03-28T10:17:42.000Z,1,,1
にょろ助,@Amphiuma25_25,,2022-03-28T10:17:13.000Z,,,
うめみや,@umechan_s_saku,,2022-03-28T10:17:01.000Z,1,,
Charlotte de R.eth,@Charlotte_de_R,,2022-03-28T10:16:59.000Z,,,
DataKraken,@SailingCloud,Congratulations! Sending some froggy vibes over in case you miss him! Fingers crossed for the Plague. You and your team are really making a great job!,2022-03-28T10:14:51.000Z,,,1
丸大食品CP公式アカウント,@marudai_cp,,2022-03-28T10:14:39.000Z,,,
しょーにゅー【】,@1026NKonly_Foxy,,2022-03-28T10:14:38.000Z,,,1
まーと,@Mart6xd,,2022-03-28T10:14:38.000Z,,,
【公式】SANYO,@sanyobussan,,2022-03-28T10:14:27.000Z,,,
LukiMoon,@LukimoonMoon,@AzukiZen    @degencoinflip   @TheStonerApes   @NeillkNFT,2022-03-28T10:14:25.000Z,,,2
ハマチカマ,@7jhivKZi5iyjEqj,,2022-03-28T10:14:20.000Z,1,,
冬小町,@fuyukomati,,2022-03-28T10:14:16.000Z,,,1
クラシエフーズ公式,@Kracie_foods,,2022-03-28T10:13:56.000Z,,,
デコホーム,@decohome_nitori,,2022-03-28T10:13:55.000Z,,,
BE A HEROスニッカーズ,@hero_snickers,,2022-03-28T10:12:40.000Z,,,
綾鷹（あやたか）,@ayatakaJP,,2022-03-28T10:12:34.000Z,,,
みちゅTL追えず,@michu_mori,,2022-03-28T10:12:13.000Z,,,1
FelderArmy,@fikohunter,@ficodl   @remahchikitaro   @AkhirMaretB1win,2022-03-28T10:11:29.000Z,,,1
Azuki Sales Bot,@AzukiSales,"Azuki  1711 sold for Ξ16.78 ($56,030.36). https:// 388653567af2f388e6224dc7c4b3241c544/1711 …  #AzukiZen   #azukiNFT",2022-03-28T10:11:21.000Z,,,2
Liberta,@LibertanewLife,,2022-03-28T10:11:07.000Z,,,
PolloRK.eth,@PolloRK8,Looks like all the  Azuki  holders were super models in web 2,2022-03-28T10:11:02.000Z,,,2
yameii,@YAMEII,When someone try to undervalue  #Azuki   ..,2022-03-28T10:10:49.000Z,,,4
NFT enthusiast,@cb1crypto,"Hard to stack both , I’ll go with stacking Azukis",2022-03-28T10:10:47.000Z,,,2
ちぃちゃん,@u_chan_chii,,2022-03-28T10:10:24.000Z,,,
Metaverse Alerts #nft #virtualLand,@MetaTradesBot,"#nft  sold!                  
Item number 1711 from the collection "" Azuki "" 
            
Price: 16.78 Ether [$56043.86]  Collection price has risen 16.87% over the past week",2022-03-28T10:10:07.000Z,1,1,1
